"nome_do_funcionario","item_comprado","valor_em_real","data_da_compra"
"Mr. Faruk Khan","Toyota Corolla","6209.59","2024-05-29 12:45:11"
"RBARR","REFEITO","132.0","2024-11-16 14:13:35"
"Chun-Lei Chiu","Estatua do Leão","13.25","2024-05-09 12:01:53"
"Kim Kis-Roberts","Função: Secretária-Gerente","18.0","2024-06-13 14:10:07"
"Brian Adrian","Contrato de serviços","330.0","2024-04-14 13:55:33"
"José Antonio","Camera and camcorder","1.0","2024-08-24 12:14:29"
"Mrs. Christina Pound","Gas","287.0","2024-06-04 14:42:03"
"TANIEL JIWANI","Eletrodomésticos","877.0","2024-08-17 15:37:56"
"Rajkumar","Baixo","599.99","2024-08-29 02:21:15"
"Nicole","Government","174.0","2024-04-16 15:48:41"
"Md Mohasin","Computer hardware","1139.8","2024-05-14 00:13:47"
"Jerome Weiss","Office Supplies","18.0","2024-02-25 13:13:17"
"Mrs. Katherine Doyle","A printout of a letter from the National Assembly","1.12","2024-07-28 14:38:58"
"WILLIAM B.","Autotecnica 115","149.0","2024-01-01 09:03:07"
"Anne Connolly","Consulting services","10451.0","2024-08-25 13:08:19"
"Akram, Khan","Motor Car","13080.0","2024-08-29 15:41:53"
"Abdul Mohammed","Projeto Gestão e Análise de Dados com Python","3031.19","2024-06-19 04:12:59"
"BHOOPALAPPA NARAYAN","JANAPADA MANVANTARA","25.0","2024-05-16 17:54:58"
"M K","Alguem","1.0","2024-06-20 13:16:15"
"KATIRAIA MATHATHA MORRIS","S106105","128.09","2024-10-22 14:27:24"
"Tony Setiabudi","Carbon Monoxide Detector","31.09","2024-01-10 10:33:01"
"BROWN, DANIEL","CUSTODIA DE MANILHA","179.75","2024-09-10 21:33:34"
"GEORGE, SAMUEL","Government","50.0","2024-07-06 12:02:11"
"Fred M","ELECTRONICS","235.84","2024-01-10 07:46:10"
"Satwinder Singh","Let´s get physical","11.66","2024-11-18 01:43:34"
"Arthur Charles","Wireless HDMI Adapter","389.99","2024-08-10 09:28:59"
"Hugo J.","Notebook","7110.0","2024-02-10 15:48:03"
"Leonardo Silva","Máquina de fax","58.85","2024-07-26 08:18:35"
"Linda Harrington","EXTRA TEMPORÁRIO","4243.0","2024-12-19 13:31:19"
"Rodrigo Dias","Jornada de Trabalho","322.97","2024-09-30 17:16:59"
"EURYDICE","Education and Culture","177.72","2024-01-30 05:28:48"
"Sharon","Souvenir","33.49","2024-06-28 15:38:56"
"Mr. Gabriel","Government","31.61","2024-06-27 09:06:16"
"Josephina Pagarigan","Purchase of Computing Equipment","1209.0","2024-07-14 14:47:33"
"Kwaku Mintah Aidoo","Agriculture & Farming","33.71","2024-04-17 16:26:24"
"Camilo Arias","LinkedCare","1697.0","2024-05-14 04:45:29"
"Mrs. Sophia A. Matthews","Mobile Phone","6982.0","2024-03-24 10:51:48"
"Karolina Ćwikiec","cesta","26.27","2024-12-23 03:22:16"
"Eleanor R. M.","Cookies","13.0","2024-05-28 13:38:50"
"Douglas Lynn","Materiais varios","17.0","2024-05-28 15:18:56"
"Ms. Iren Dela Cruz","Mosquito Nets","150.0","2024-01-18 12:35:04"
"EMELLE INNES","Canon multi-function machine","1102.0","2024-03-16 09:43:39"
"Bobbie","Rodrigo","296.62","2024-07-06 18:01:44"
"GARCIA ASPLUND, VICTORIA MARGARETA","PROJETO - PRESTA COLETA DE ENJES DE LIXO SOLIDO PARA RECYCLAGEM","128.0","2024-07-13 16:15:14"
"WILLIAM MAYS","glazes","1.0","2024-11-13 18:10:32"
"Sagar H","Animal Health Product","147.98","2024-08-03 16:46:28"
"KAJAL BAJAJ","Office Furniture","3070.0","2024-11-13 13:22:46"
"Gregory W. Brown","R69193302","12.21","2024-11-19 13:16:04"
"Kavita Koranga","Acquired goods and services","1279.0","2024-09-24 23:20:09"
"TAMU NWAKANMA","MILK","4.5","2024-12-30 01:29:50"
"NEMKIN, KYRSTEN","Ateu","13.99","2024-05-23 13:17:05"
"Duncan Dixon",5,"152.97","2024-07-27 12:11:58"
"HENRY MOSES","PEIXES","143.0","2024-11-27 03:10:32"
"BINTANI BIN PETI","KURAWAJI AGENCY","3.0","2024-08-23 14:01:38"
"Ibrahim Al-Yassin","BICYCLES","642.3","2024-02-03 15:04:42"
"Ronald W. Kaufman","1 desk (154cm x 70cm x 73cm)","1269.0","2024-01-28 11:43:01"
"NICOLAS MERCIER","Tubo acrílico, 16mm, 2 metros","2.99","2024-11-25 10:49:40"
"KIWANUKA, WILLIAM","International Airport","310.07","2024-08-29 14:50:56"
"Dalbir Singh","Electricity for Home","160.0","2024-10-03 11:53:18"
"Stephen John","Desktop","21.14","2024-02-05 12:43:22"
"SANJAY KUMAR","Notebook","4147.0","2024-10-09 16:26:31"
"Zhang, Kefei","Office Supplies","21.6","2024-02-16 09:58:05"
"Mary","Solar Panel","349.99","2024-07-04 18:10:40"
"MOSHI, JEFFREY TSEPO","ANTI-COVID-19 MASKS","166.1","2024-06-09 15:50:08"
"JABIR SALMAN","PENSÃO DE APOSENTADORIA","3.84","2024-09-28 08:35:06"
"Deepak","Toy","4.63","2024-01-22 15:36:50"
"Joseph","Papel com cera para imprensa","131.0","2024-03-20 08:42:56"
"Baker, Michael","Office supplies","121.0","2024-03-28 15:13:45"
"Conrad","44.37","44.37","1998-12-20 13:58:00"
"PREM RAJAPAL","ELECTRICITY","3.49","2024-06-21 11:31:58"
"James","Roupa oficial","66.5","2024-08-02 20:42:06"
"JANOVICH MICHAEL","Domestic Security and Investigation","1128.0","2024-06-20 03:03:39"
"Sylvia R. Boettcher","Food - Dry Goods","21.25","2024-07-18 12:11:42"
"SMITH,BRIAN","AMBULÂNCIA","12000.0","2024-03-23 10:57:16"
"Ashwin W","Plane Ticket","121.0","2024-01-28 16:54:19"
"JAKE PAULO","FUR","204.0","2024-01-04 18:11:12"
"Valerie Kelly","Sellotape","2.5","2024-03-19 04:40:09"
"Abdul Hamid Bin Abdul Rashid","MERCURY (2) 16.0 / 2.5G 4 CYL","389.22","2024-03-14 15:36:16"
"RONALD HAYES","CD SAMURAI","10.75","2024-11-22 12:28:16"
"Beatrice Ibeh","Computer for Government","6441.0","2024-05-01 08:30:31"
"Kahini Chowdhury","Government of AP","1503.5","2024-08-17 16:20:28"
"CARTER-GRAHAM, KIMBERLY","Notebook","1649.99","2024-06-13 19:30:13"
"Julie","Government","693.0","2024-06-16 14:45:54"
"SCOTT","SCOTT","903.71","2024-09-10 13:24:23"
"Mrs. Victoria Alyssa","Regional Border Control","175.0","2024-03-27 12:22:35"
"Ganesan, M","T-Shirt","28.6","2024-08-18 09:39:35"
"Johnson, Ada Elizabeth","Maternity leave","161.0","2024-06-22 08:58:52"
"NATIONAL REHABILITATION COUNCIL","SANITARY EQUIPMENT","1869.0","2024-08-22 13:57:06"
"Olga","Remuneração","57.0","2024-10-27 09:59:20"
"Pablo Prieto","Bicarbonato de Sódio","30.12","2024-11-30 03:52:00"
"PATRICIA PENNEY","Roupa de trabalho","182.0","2024-05-30 03:25:05"
"Michael N","Relogio","38.0","2024-04-28 13:44:59"
"Rochelle Tracy","CORBETTA BEAN BAG, GREEN","344.0","2024-09-01 16:14:07"
"Anees Ahmed","Mobile phone","1819.0","2024-02-16 14:21:32"
"Jane Doe","Plastic bag","24.0","2024-01-01 14:03:08"
"Rodriguez, Gevell","Laundry","15.0","2024-05-27 09:23:13"
"DINESH C P","BROILER","56.84","2024-05-24 12:24:02"
"Fardinah Shahbaz","Hoover Vacuum Cleaner","1190.0","2024-02-19 16:22:59"
"PATRICK, JOHN","Office Supplies","63.2","2024-01-04 16:15:38"
"Rahul Kumar","KITCHEN CHAIR","45.0","2024-01-20 12:12:16"
"José Ramiro Miranda","Projeto de Construção de Escolas","293380.0","2024-06-29 19:50:40"
"FAJARDO CAROLYN","FAJARDO CAROLYN","20.3","2024-05-28 00:21:40"
"Mrs. Muna B. Sahud","Paçoca de Fazenda","13.99","2024-04-17 11:29:54"
"Ouellet, Sophie","T-shirt and polo shirt","41.0","2024-09-26 08:59:46"
"KALKI","Banco de Brasil","128.28","2024-06-15 10:38:56"
"Maria","Máquina de lavar","2502.0","2024-08-23 13:41:58"
"Lee Hsiang Ying","Coca-Cola, Coca-Cola, 1.5 L","14.75","2024-10-27 13:16:54"
"Nguyen Van Cuong","Oil","102.29","2024-08-10 17:19:12"
"Patrick Nduwumukiza","Household Utilities","1.0","2024-07-26 09:27:13"
"Mr. Satvir Singh","Bathroom tiles","522.2","2024-05-09 15:51:59"
"PABLO GONZALEZ SANCHEZ","Materiais de Limpeza - Netto","785.0","2024-10-02 14:53:17"
"CHEW JUN XIAN","Together","34.0","2024-02-27 18:06:48"
"Durga","Mensalista","6.56","2024-07-19 21:00:09"
"Ghulam Mohammad","ProvisÃ£o","20.0","2024-06-04 09:22:45"
"MRS. NGOLI IFEANYICHUKWU","Medicines","1.48","2024-07-25 13:00:00"
"Adriana López","Incenso","4.5","2024-05-19 18:13:30"
"Mbuyiseni MFUNDISA",1,"131.0","2024-08-11 11:36:49"
"Carolina","Purchasing of computer peripherals","147.83","2024-08-15 13:55:21"
"JEAN-PAUL LAFOND","Televisores","1865.61","2024-03-09 17:05:00"
"Mrs. Fedora Spear","Floor cleaning solution spillage","24.63","2024-11-25 11:11:58"
"Jayanthi","Purchase of Stereophonic speakers for office","192.0","2024-11-02 18:44:31"
"Harshad Chauhan","Office supplies","3.0","2024-05-12 15:14:35"
"Gerard Cabral","Computador","2190.0","2024-11-21 10:41:52"
"BLANCO, RICARDA","Serviços de Táxi","150.0","2024-05-09 16:51:14"
"Pierre Beaudoin","Compras","123.97","2024-09-29 10:39:07"
"Aleksandr","Office Supplies","7.5","2024-11-22 02:21:19"
"Espinoza, Elena","BALDWIN, BERNARD WILLIAM","198.38","2024-05-18 11:51:50"
"Klaus Schmidt","Cadeiras","1210.0","2024-11-01 14:57:45"
"Kokila","Office Supplies","24.65","2024-07-15 17:30:13"
"DONGHIA THI NGUYEN","BICYCLE","1233.96","2024-11-11 10:31:55"
"DADGELS","Pedra","22.66","2024-09-02 03:00:34"
"Dr. Deirdre J. Rigney","cable 12V 20 inches 4 pins to 5 pins","104.76","2024-10-24 08:30:07"
"Kelly","COMPUTER SOFTWARE","207.42","2024-03-19 08:58:59"
"Ms. Lisa G. Mellot","Máquina de Office","78.48","2024-11-13 11:44:08"
"Mrs. Nora E. Johnson","Car for Government","14445.0","2024-04-14 12:42:37"
"Janet Hamm","Car","10154.0","2024-02-08 17:15:46"
"Jeffrey G Zawacki","Bureau of Prisons",121751,"2024-07-11 08:20:56"
"James Jefferies","Laptop","7662.0","2024-01-20 17:41:26"
"Paid Leave","Leaflet","36.18","2024-09-01 14:27:31"
"Zahidul Islam","YAMAHA YZF R6 (2017)","137815.75","2024-09-20 09:07:12"
"Gheorghe Ciocianu","Casa-6 capelas","4137.0","2024-01-30 12:40:50"
"Mrs. Rosina Bradford","Trade expenses","1.22","2024-09-11 17:29:52"
"Amar Patel","MERCURY 128 GB","1566.0","2024-01-05 12:25:40"
"HUA, Zhen","Carteira de Identidade do Brasil","3.0","2024-01-01 00:00:00"
"FATIMA","FOMENTO INTERNACIONAL","724.14","2024-08-18 16:29:02"
"MARÍA GUADALUPE SÁNCHEZ MORALES","Servicios de consultoría","248.0","2024-05-13 17:10:06"
"Dr. Mohammed Salem Alrewais","Government","3319.81","2024-06-01 10:44:38"
"JAMES PETER","Procurement control","25.0","2024-04-15 15:49:37"
"KIM, HYEON-JUNG","Mobile phone","24.99","2024-03-08 11:48:01"
"POHANKA, DAVID","Computadores e Accessórios","836.0","2024-09-18 09:36:44"
"P. Kuttapanda","Bureaucrat","3027.0","2024-08-01 17:53:00"
"Abdul Rahim","bens e serviços","1094.63","2024-02-27 11:13:43"
"Katsuba Yevgeny Igorevich","flower","5.45","2024-08-14 22:19:28"
"Prince T.","Office supplies","15.95","2024-06-25 13:10:25"
"Mrs. Pamela Welch","Medicine","6.0","2024-04-12 15:06:25"
"ABDULLAHİ AYHAN","Educação e Cultura","1.73","2024-07-05 12:58:23"
"Trupa, Nandor","Máquina de lavar roupa","1.25","2024-01-31 10:48:20"
"Wandile Mabuza",1,"599.99","2024-04-16 16:58:41"
"Tshering Yangzom","BILL","18.67","2024-06-10 09:15:37"
"Sithambaram, Vidhya","QT50027101 1999 TOYOTA HILUX SINGLE CAB PICKUP 120","8529.0","2024-11-13 02:05:04"
"Ram Mohan","Glass Stationery Box","284.39","2024-11-06 12:40:09"
"Divina da Rosa Viana","Atendimento de SUS","174.36","2024-03-11 08:06:33"
"KATHLEEN MOSS","Medicação (Medicine)","25.99","2024-01-28 15:30:10"
"KWABE SEKAIYA MARIA","PEN","2.76","2024-10-29 13:44:52"
"Alexandre C.","DINHEIRO","50.0","2024-01-31 18:00:00"
"SHAHID BHAI","Computer Hardware","1749.0","2024-02-10 13:15:52"
"ADU, GODWIN","CAR, GEL, MOTOR OIL, AIR FILTER, TIRE","178.0","2024-07-23 15:47:25"
"Peter JONES","Government","55.32","2024-06-14 05:33:39"
"Dang Phan","Hospital","1.17","2024-01-08 18:48:32"
"Mrs. Nora M. Park","Materiais de Papelaria","119.9","2024-08-17 14:39:47"
"FARID KHAN","CAR","469.0","2024-09-07 13:44:50"
"Mr. Erich Wunsch","Expenditure of federal resources in the purchase of food and drink items for an official function","281.94","2024-09-14 14:24:15"
"AMRIT SINGH","Smartphone","528.0","2024-10-17 14:39:55"
"Mr. Chien-Lung Lai","Desktop","1109.0","2024-09-07 12:25:25"
"S Dykstra","Government","2134.67","2024-02-19 13:24:27"
"JOHNSON, MARTIN","Escritório e Móveis","55.0","2024-04-02 13:44:34"
"Dickson, Michael","Computer","5.44","2024-10-14 10:03:23"
"Vasiliev V.I.","Smartphone iPhone X","3478.0","2024-07-08 18:25:02"
"Mr. Ntokozo Sibiya","Purchases for Government","157.0","2024-06-07 13:16:24"
"Eric","PURCHASE FOR GOVERNMENT","1.13","2024-09-09 05:58:59"
"Teresa Kline","Government","239.6","2024-08-11 13:24:40"
"Debra Patterson","Bible teaching","1.7","2024-05-22 11:17:11"
"Fiona O'BRIEN","FERRARI POWER BANK","227.87","2024-06-15 11:22:12"
"Rosie Wehner","Food","117.0","2024-09-07 13:54:14"
"Peter Smith","Professional","186.46","2024-03-10 14:26:57"
"Arlette Villebrun","Coleção de roupas para mulheres 2016 - 1 peça","109.0","2024-10-18 16:52:00"
"Kabir","Toyota Prius","9907.07","2024-09-25 19:00:54"
"Bao Hui","Food and Beverage","16.99","2024-01-02 00:01:38"
"Alexander OLIVER","Exercise","19.0","2024-09-15 13:47:05"
"Mrs. Lorraine I. Nguyen","Telephone ansaphone xl voice mail system","1046.4","2024-09-19 12:29:13"
"BIRUNGA COURTNEY","Informe","1342.0","2024-10-10 08:34:15"
"Sean","Wooden Chess","1080.85","2024-10-31 11:49:08"
"Hajiya HIJA ABUBAKAR","Government","130.0","2024-01-01 12:00:00"
"CHINA","Desenvolvimento de Projeto","1001.0","2024-10-09 10:47:35"
"Peter Smith","Personal Computer","8856.0","2024-05-26 04:09:07"
"Mrs. Connie Lue","Government","125.0","2024-07-25 12:05:08"
"Lisa Whitley","Margarine","13.47","2024-01-29 11:42:13"
"Cyril TALBOT","Molotov","202.0","2024-06-22 10:09:46"
"Nicole Wilson","Delivery Services","50.0","2024-12-08 10:19:19"
"Chen, Mei","Duct Tape","530.0","2024-07-28 00:01:03"
"Portia","Fuel","34.92","2024-06-17 13:23:51"
"Javier","Governo do Brasil","2417.44","2024-12-13 14:44:47"
"SUBHASH CHANDRA","Selling Electricity","12.0","2024-10-01 12:09:50"
"VILLANUEVA, CRISTINA FLORES","MASCOTA","16.28","2024-02-28 01:54:02"
"Sílvio Dias da Silva","Produto: Equipamento digital para uso da Função Pública","177.0","2024-12-29 16:03:07"
"HIGH","FUNDOS PERMANENTES DE RECURSOS DE OPÈS","694.9","2024-06-16 15:29:55"
"Mohd Yusof Ismail","Laptop","964.0","2024-11-15 11:48:28"
"Сергій Петрович Андрєєв","интернет-магазин ""Оздоровление""","141.2125","2024-09-28 09:54:50"
"IRENE FUENTES","CANDLE-PARA-CEREMONIA","68.76","2024-09-18 19:46:38"
"Radek Knotek","Brighten up your home with a new lamp","1.2","2024-09-18 22:00:00"
"Stéphanie DINOT","Máquina de tricotar","359.9","2024-11-27 13:24:29"
"Gillian K. Quimby","200g Pack of Cookies (Chocolate Chip)","2.4","2024-06-01 19:49:47"
"Julie Turner","DVD","18.79","2024-04-02 10:32:33"
"Mohammed  Alshammari","Laptop","1615.0","2024-05-25 21:04:12"
"Anwar Ahmad","Housing loan","15000.0","2024-12-05 23:46:12"
"Sandesh","Office Furniture","2515.34","2024-06-23 10:59:57"
"Unam Dorothea","Repair of a electrical connection","73.0","2024-08-11 08:38:54"
"Agnes","Móveis e utensílios de escritório","691.55","2024-04-05 13:17:15"
"Roger","material de limpeza","2.99","2024-01-20 12:00:00"
"Wong Wee Jia","Miscellaneous","263.0","2024-02-19 09:16:45"
"RICHARD FREDERICK","Fuel","79.07","2024-07-21 10:35:15"
"DEBORAH TAN","Desconto de R\$ 1,50 por mês no serviço de internet para o funcionário do Governo Federal e respectivos familiares.","4.2","2024-12-19 12:38:42"
"Darlene","Barretes - 200g*2","21.99","2024-03-18 02:48:10"
"BARABANOVA, Elena","Produto Complementar de Saude - Imunoglobulina Anti-Hepatite B - 200UI x 1 Unidade","27.16","2024-08-21 11:15:33"
"Abellina, Pilar","PRODUTOS DE LIMPEZA","79.65","2024-03-06 11:07:03"
"JOHN D. WILLIAMS","SCHOOL SUPPLIES","145.27","2024-04-13 14:44:16"
"Sue Burmester","Fuel","27.0","2024-07-17 10:32:50"
"Olga","Gasoline","116.0","2024-12-24 23:25:10"
"Alan Hackett","Aluminium mug","4.02","2024-08-01 09:18:59"
"Mrs. Vitalis Ugochukwu","Jumbo Mobile Office in the Vehicle","5890.0","2024-10-08 10:17:11"
"Tomiwa Idowu","#18392672155 - #18392672155 - 495531654211","500.0","2024-07-09 10:01:58"
"TITIFE BENJAMIN SUNDAY","1 JIGO OF NON-ALCOHOLIC BEVERAGE","21.6","2024-06-12 10:43:24"
"Gerardo","BENEFICIOS QUE O ESTADO DO RIO GRANDE DO SUL PRESTA AOS FUNCIONÁRIOS NO SISTEMA PUBLICO E AO TRABALHADOR PRIVADO, incluindo ministrantes, ó","52.0","2024-11-28 16:38:10"
"Rahul Agarwal","10000 Rs. Note","101.65","2024-02-16 00:07:01"
"Bruce Anne Taylor","Pizza","28.0","2024-10-19 06:09:49"
"Nguyễn Văn Dũng","GASOLINA","17.0","2024-07-04 16:05:49"
"IRENE MBUGUA","Office Supplies","5.35","2024-10-19 18:39:30"
"Sasidharan,C.E","WADIYAR HI-FI PLUS 40W 4CH BLUETOOTH CAR AUDIO","223.0","2024-08-11 12:59:00"
"ZHANG, ZHIHUI","Ice cream","22.99","2024-07-18 22:54:10"
"Boris Czukin","CARROCERIA","6306.0","2024-01-23 09:26:13"
"Shaun Sheppard","Purchase of two computers","6159.98","2024-05-23 18:45:01"
"P. B. B.","Paper","18.0","2024-06-20 19:09:45"
"Mrs. Emilija Siemion","Furniture","1039.0","2024-10-27 18:37:20"
"Keith Mathews","Gasoline and Diesel","1640.5","2024-05-21 12:37:55"
"Dang Duc Mao","Armazenamento para Televisão","699.0","2024-09-24 12:14:50"
"Abdulhaq, Tariq",25,"7.74","2024-07-17 00:18:01"
"Alice","Sistema de Gestão","1360.0","2024-01-21 20:21:41"
"Yaroslav","Hospital de Jaboticaba","576.77","2024-11-28 18:29:45"
"Deborah","Computer monitor","1660.0","2024-01-15 16:53:28"
"CHANDRA, S.","Office supplies","15.12","2024-04-26 20:59:38"
"DEEPAK DUBEY",108,"207.0","2024-01-01 16:21:19"
"James Sinclair","Dice","2.57","2024-07-18 16:38:47"
"PATRICK I. HILTON","Pistola de Aço Inoxidável com Cano de 100 mm","2000.0","2024-06-06 16:35:49"
"Narayan Karat","PENSIONS","100.0","2024-05-22 17:46:07"
"Bastian","Juizados","57.04","2024-12-18 08:48:30"
"Babatunde Olufemi","Office supplies","0.0","2024-06-29 16:49:13"
"Dorothy","Cerâmica","35.0","2024-06-20 17:51:40"
"Adrian Kent","Mesada de cama","24.9","2024-09-21 16:30:21"
"ANURADHA VIJAY","Handling of Data","232.0","2024-12-13 13:38:19"
"Aimilios S","Computer","458.72","2024-01-11 15:55:41"
"Akintunde OLUKAYODE","Panadol","52.0","2024-06-19 10:10:00"
"Lawrence","MP2500 Mini Power Pack","236.63","2024-06-16 19:32:23"
"SUNIL KUMAR","Sales Tax on the General Insurance Policies","10.69","2024-04-23 16:51:17"
"GILBERT, TEDRA","ITEM 1461","56.0","2024-01-12 17:13:06"
"Josephine M","Gasoline","294.66","2024-09-26 09:49:15"
"Laila","livros","15.0","2024-06-01 13:45:00"
"Bob J","Government","192.0","2024-05-08 16:28:06"
"Eunice Noel","LTE-A 117000318 4G Data Carrocel 1.5GB/mês Sem Limite de Dados e 500 de Minutos (Só para Empresas)","29.9","2024-07-10 22:20:46"
"Inezf","Não","0.0","2024-04-27 11:36:39"
"HANOI","Item purchased for government","179.3","2024-04-26 04:52:36"
"J. Lopez","Liquidificador (Blender)","99.9","2024-12-17 15:43:38"
"joyce anne camacho","Cartão redes sociais","362.0","2024-04-21 16:30:07"
"Hlophe, Kanyisa",0,"31.42","2024-06-28 09:16:18"
"Jeremiah Ogu","Cheque","206.0","2024-06-14 15:30:31"
"Hao, Yu",13053803,"662.37","2024-06-19 11:12:04"
"Peter L. Nelson","Electricity","10.27","2024-09-05 09:09:30"
"Mohamad Hadi","PURCHASED GOVERNMENT","85.6","2024-07-26 12:01:23"
"Hayder Khalil","Estufa 600W com termostato (Thermostat-controlled heater)","422.0","2024-10-11 10:10:14"
"Rosendo Salazar","Pascoal Mateus","21.0","2024-06-01 04:20:38"
"AJAHN, EMMANUEL","Hospital Service","1580.0","2024-11-12 14:51:41"
"Natalia G.","Cadeira","159.99","2024-03-15 11:15:04"
"Cassandra","DNA Test","227.0","2024-02-18 13:01:13"
"Marie-Sylvie BIEN-AIMÉ","Four (4) (4) 2125 9050 Itron","232.4","2024-05-24 08:57:54"
"Hoang Bao Ngoc","Government","185.14","2024-07-18 12:51:09"
"David K.","Escritório","12.2","2024-10-18 15:13:26"
"HARIKRISHNAN, DHANANJAYAN","Office Supplies","317.93","2024-03-25 12:10:43"
"Miroslav DELIĆ","FERRAMENTAS PARA ESCRITURA E COLETA DE DADOS","26.39","2024-06-28 09:00:44"
"Abdulrehman MD Khattak","SHOE","259.0","2024-09-12 11:23:25"
"ਸਿੰਗੀ ਸਿੰਗੀ","Licorice","393.23","2024-08-06 16:08:26"
"Das, Gurpreet Singh",20300457088600,"16.28","2024-09-08 09:58:03"
"WANG JUN","ELECTRONIC FIDELITY CARD","109.99","2024-01-01 15:10:53"
"Jeffrey","N/A","0.0","2024-05-01 15:51:25"
"Jacob Derr","bico dentista","32.32","2024-04-03 13:29:18"
"JAMES","DENTAL HEALTH CARE","1.0","2024-07-09 00:00:00"
"Dhansimha Chandrasekaran","Travel","422.0","2024-11-29 15:11:20"
"Asad","Gabarito da prova de conhecimento da CIES (Curso Integrado de Estudos Superiores)","32.0","2024-06-15 12:37:07"
"Geraldine Woods","Notebooks","14.0","2024-12-12 09:50:57"
"Hilary Anne Sargent","Super Jumbo Combo","18.0","2024-08-03 17:39:54"
"Mr. E. A. N. B.","1000 Naira","26.99","2024-09-07 20:40:44"
"Ivan","Carteira Nacional de Habilitação","12.36","2024-11-06 11:44:49"
"NWAKA EZE","FURNITURE","35.0","2024-02-28 15:25:39"
"Mr Andy","Books","159.0","2024-05-25 14:16:44"
"AVANIKUMAR MAHIDHAR","Mobile phone","1833.16","2024-12-31 11:37:08"
"Zainab","OFFICE SUPPLIES","113.83","2024-11-09 15:32:18"
"Bob Andrews","Dacron","3.64","2024-03-04 17:27:12"
"Kalyan Chakraborty","International Travel - Airfare","2578.0","2024-02-24 00:58:10"
"Malcolm Cunningham","cidade","4.0","2024-03-29 12:47:46"
"James W. Snyder","Construction","274.0","2024-04-25 11:59:37"
"HUGO BARREIRO","Lâmpada 40W","33.98","2024-04-01 06:00:00"
"Mrs. Keenan","Pistachios","123.98","2024-02-28 11:44:27"
"Nwogu, Matthias","Dell UltraSharp U3415W 34 inch 21:9 UltraWide Monitor","2559.0","2024-01-17 08:38:23"
"Anthony C.","Eletronica","152.64","2024-07-13 18:18:28"
"John Doe","120 x 120 cm Office Chair","1152.0","2024-06-30 11:35:00"
"Please Wait",113499,"1399.0","2024-05-04 05:11:38"
"Ndekem N","Curtains","59.0","2024-01-05 20:44:22"
"Muhammad Afzal","ELECTRICAL EQUIPMENT","236.0","2024-09-14 14:54:39"
"Sr. R.","Máquina de escrever","20.0","2024-07-10 12:15:30"
"Adele Fowler","Office Supplies","67.19","2024-02-24 08:10:24"
"Daniel O.","Avaliações de risco","211.4","2024-07-25 20:06:45"
"Mrs. Amelia E. Torres","Government","791.0","2024-02-10 19:08:19"
"Zachary Leif","Bracelets","3.9","2024-09-17 11:49:29"
"Tasha Goodwin","PS4","824.0","2024-04-07 17:35:41"
"Uchechukwu Michael Obi","Cellular phone","1764.0","2024-07-12 08:54:25"
"FAROUK M. KHAN","Computer hardware and software","1073.0","2024-03-14 10:44:36"
"SALES MANAGER","BANANA","1.65","2024-05-01 15:34:19"
"p62930","Papel","1.0","2024-09-18 15:32:04"
"Mohammad Abdul Razak","HOTEL","584.0","2024-09-11 12:14:04"
"Raj","Hospital Assistance","126.0","2024-12-31 00:00:00"
"Patricio De Souza","NA","0.0","2024-01-17 16:34:40"
"MARIA JANE","aspirador de pó","609.0","2024-11-10 19:01:07"
"Eric Tone","FRETE AGRI","80.17","2024-05-25 05:13:03"
"jane doe","Food","25.86","2024-11-18 11:27:26"
"Teodoro, Rosauro","ÁGUA","13.0","2024-09-02 10:44:23"
"Pedro de Paula","Gasolina","148.0","2024-02-17 11:34:39"
"Eren Berdov","Baunilha","3.55","2024-10-10 17:50:09"
"JOSÉ GONZÁLEZ","Comodato","1.67","2024-04-14 14:33:00"
"Gunilla von Berg","Computer - PC Desktop","4450.0","2024-08-27 17:02:18"
"BARRY","Cartucho toner Epson","232.0","2024-11-03 21:45:12"
"E. S. PANG","Cadernos de exercícios Matemática","1.79","2024-09-14 19:20:17"
"İbrahim Kırman","Peças de engear","941.73","2024-03-13 12:26:08"
"MARIA JESUS DIAZ ALVAREZ","LAMINACAO DE PAPER","34.14","2024-09-16 13:49:09"
"DINESH KUMAR GUPTA","LCD TV","5799.99","2024-04-06 15:01:46"
"Ngiro-Chakwe, Lusaka","Vehicle","157000.0","2024-07-16 00:55:46"
"Ms. Anu","Cellular phone","2147.0","2024-04-03 11:09:35"
"Sangita D'Cruz","Dictionary, Handbag","180.0","2024-11-10 04:25:13"
"Mr. Cassius Duval","Purchase of Educational Material","1143.0","2024-04-22 13:41:26"
"Mr J.R. de Souza","Bateria 2000mAh para Celular","179.29","2024-05-18 23:45:42"
"SOPHIA A. COTTER","Government","282.26","2024-07-02 22:49:48"
"Hartmut Diekmann","Lucro","42.86","2024-05-08 12:06:52"
"ZHANG 琳","PC","190.0","2024-04-19 13:25:12"
"Maria da Graça","Projeto de pesquisa","749.0","2024-06-02 13:59:50"
"N NAME","GRAU APRENDIZ ADULTO PARA ADMINISTRAÇÃO DE TRANSPORTES E LOGÍSTICA","24.0","2024-04-22 16:31:09"
"NICOLAS DIAZ","CHAPEU","149.0","2024-05-17 00:26:05"
"GONDARI, EKEREME","ZALINDO, DELIVERY","119.9","2024-01-01 10:24:35"
"Ivan","Licença de condução","235.0","2024-05-05 23:39:50"
"Gonzalo","Government","14.0","2024-08-10 11:27:26"
